"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"411",411,3.5968,"MS-DRG",31,9.30000019073486,0,,11.3000001907349,10/1/2013,2014
"412",412,2.3659,"MS-DRG",31,6.5,0,,7.59999990463257,10/1/2013,2014
"413",413,1.722,"MS-DRG",31,4.19999980926514,0,,5,10/1/2013,2014
"414",414,3.6208,"MS-DRG",31,8.80000019073486,0,,10.6000003814697,10/1/2013,2014
"415",415,2.0173,"MS-DRG",31,5.80000019073486,0,,6.69999980926514,10/1/2013,2014
"416",416,1.3268,"MS-DRG",31,3.5,0,,4.09999990463257,10/1/2013,2014
"417",417,2.4784,"MS-DRG",31,6,0,,7.5,10/1/2013,2014
"418",418,1.6536,"MS-DRG",31,4.09999990463257,0,,5,10/1/2013,2014
"419",419,1.2239,"MS-DRG",31,2.59999990463257,0,,3.09999990463257,10/1/2013,2014
"420",420,3.6786,"MS-DRG",31,8.69999980926514,0,,12.3000001907349,10/1/2013,2014
"421",421,1.7714,"MS-DRG",31,4.59999990463257,0,,6.30000019073486,10/1/2013,2014
"422",422,1.2175,"MS-DRG",31,3.09999990463257,0,,3.90000009536743,10/1/2013,2014
"423",423,4.2183,"MS-DRG",31,9.60000038146973,0,,13,10/1/2013,2014
"424",424,2.3149,"MS-DRG",31,6.30000019073486,0,,8.19999980926514,10/1/2013,2014
"425",425,1.6396,"MS-DRG",31,3.79999995231628,0,,4.90000009536743,10/1/2013,2014
"426",426,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"427",427,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"428",428,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"429",429,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"430",430,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"431",431,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"432",432,1.715,"MS-DRG",31,4.69999980926514,0,,6.30000019073486,10/1/2013,2014
"433",433,0.9249,"MS-DRG",31,3.29999995231628,0,,4.09999990463257,10/1/2013,2014
"434",434,0.6156,"MS-DRG",31,2.40000009536743,0,,3,10/1/2013,2014
"435",435,1.7356,"MS-DRG",31,5.19999980926514,0,,6.90000009536743,10/1/2013,2014
"436",436,1.1548,"MS-DRG",31,3.90000009536743,0,,5,10/1/2013,2014
"437",437,0.9282,"MS-DRG",31,2.79999995231628,0,,3.59999990463257,10/1/2013,2014
"438",438,1.721,"MS-DRG",31,5.09999990463257,0,,7,10/1/2013,2014
"439",439,0.9162,"MS-DRG",31,3.59999990463257,0,,4.5,10/1/2013,2014
"440",440,0.6452,"MS-DRG",31,2.70000004768372,0,,3.20000004768372,10/1/2013,2014
"441",441,1.8534,"MS-DRG",31,5,0,,6.80000019073486,10/1/2013,2014
"442",442,0.928,"MS-DRG",31,3.40000009536743,0,,4.30000019073486,10/1/2013,2014
